Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
1,Ismael Aaneba,fr,DF,Strasbourg,Ligue 1,21,1999,0.1,3,1,3,0,0,0,3,0,0,,0,,1,3,1,0,0,0,0,0,1,0
2,Patrick van Aanholt,nl,DF,Crystal Palace,Premier League,29,1990,19.7,1353,61,420,612,329,37,1353,22,10,45.5,12,54.5,728,3406,1622,38,29,9,24,6,800,87
3,Yunis Abdelhamid,ma,DF,Reims,Ligue 1,32,1987,32.1,2103,230,1160,920,38,23,2103,16,7,43.8,9,56.3,1255,6240,3618,18,5,1,14,12,1354,3
4,Sabit Abdulai,gh,MF,Getafe,La Liga,21,1999,0.7,19,0,2,11,6,0,19,2,1,50.0,1,50.0,11,21,11,0,1,0,1,0,10,2
5,Mehdi Abeid,dz,MF,Nantes,Ligue 1,27,1992,14.7,852,23,184,541,149,10,852,27,19,70.4,8,29.6,532,2865,1352,32,23,3,23,10,561,16
6,Laurent Abergel,fr,MF,Lorient,Ligue 1,27,1993,32.9,1940,31,486,1210,280,12,1940,37,29,78.4,8,21.6,1075,4705,2140,32,32,4,53,44,1288,35
7,Charles Abi,fr,FW,Saint-Étienne,Ligue 1,20,2000,10.1,320,9,38,138,146,36,320,24,12,50.0,12,50.0,166,1056,424,13,15,2,33,20,242,48
8,Matthis Abline,fr,FW,Rennes,Ligue 1,17,2003,0.0,1,0,0,0,1,0,1,1,1,100.0,0,0.0,1,0,0,0,0,0,0,0,1,0
9,Pape Abou Cissé,sn,DF,Saint-Étienne,Ligue 1,24,1995,14.0,858,115,504,335,22,16,858,4,2,50.0,2,50.0,440,2357,1307,2,2,1,9,0,463,1
10,David Abraham,ar,DF,Eint Frankfurt,Bundesliga,34,1986,13.6,792,50,293,425,83,8,792,5,4,80.0,1,20.0,367,1776,1030,12,8,1,7,1,441,21
11,Tammy Abraham,eng,FW,Chelsea,Premier League,22,1997,11.6,358,20,35,171,154,61,358,18,6,33.3,12,66.7,154,694,266,12,5,8,33,7,239,66
12,Amir Abrashi,al,MF,Freiburg,Bundesliga,30,1990,0.7,30,3,12,14,4,0,30,0,0,,0,,18,102,47,1,2,1,1,1,16,1
13,Gennaro Acampora,it,MF,Spezia,it Serie A,26,1994,4.9,282,8,39,147,102,4,282,16,10,62.5,6,37.5,187,1191,444,15,14,1,12,12,206,19
14,Francesco Acerbi,it,DF,Lazio,it Serie A,32,1988,31.3,2430,309,1122,1136,191,22,2430,8,6,75.0,2,25.0,1410,8649,4938,41,42,2,21,10,1565,46
15,Ragnar Ache,de,FW,Eint Frankfurt,Bundesliga,22,1998,1.1,53,1,2,27,25,10,53,0,0,,0,,17,109,34,3,4,1,7,2,36,12
16,Marcos Acuña,ar,DF,Sevilla,La Liga,28,1991,25.9,2019,61,661,878,502,30,2019,61,41,67.2,20,32.8,1103,5721,3242,65,50,12,40,29,1330,133
17,Che Adams,sct,FW,Southampton,Premier League,24,1996,29.6,926,24,98,403,439,97,926,50,28,56.0,22,44.0,516,2336,900,32,28,13,88,44,713,149
18,Tyler Adams,us,MF,RB Leipzig,Bundesliga,21,1999,20.6,1591,47,327,964,313,19,1591,26,15,57.7,11,42.3,901,4292,1941,27,31,3,37,14,1056,70
19,Sargis Adamyan,am,FW,Hoffenheim,Bundesliga,27,1993,5.3,226,2,20,63,146,38,226,7,3,42.9,4,57.1,151,1099,514,20,16,3,14,6,176,58
20,Tosin Adarabioyo,eng,DF,Fulham,Premier League,22,1997,32.8,2272,398,1310,900,67,35,2272,14,11,78.6,3,21.4,1337,5844,3132,5,5,0,12,5,1522,3
21,Bobby Adekanye,nl,FW,Cádiz,La Liga,21,1999,0.4,18,1,2,5,11,3,18,1,1,100.0,0,0.0,13,103,68,4,3,0,3,0,11,4
22,Yacine Adli,fr,MF,Bordeaux,Ligue 1,20,2000,26.9,1920,40,348,1217,390,25,1920,79,50,63.3,29,36.7,1179,5988,3121,54,50,10,42,41,1422,48
23,Andrea Adorante,it,FW,Parma,it Serie A,20,2000,0.1,2,0,0,2,0,0,2,0,0,,0,,2,9,0,0,0,0,0,2,1,0
24,Adrián,es,GK,Liverpool,Premier League,33,1987,3.0,110,99,110,0,0,0,110,0,0,,0,,52,259,79,0,0,0,0,0,47,0
25,Martin Agirregabiria,es,DF,Alavés,La Liga,24,1996,17.3,888,41,314,418,164,9,888,6,2,33.3,4,66.7,380,1426,691,11,11,2,14,4,424,36
26,Lucien Agoume,fr,MF,Spezia,it Serie A,18,2002,8.9,563,26,165,338,68,1,563,8,6,75.0,2,25.0,308,1391,569,6,6,1,9,8,368,7
27,Felix Agu,de,DF,Werder Bremen,Bundesliga,20,1999,7.8,409,21,152,180,80,7,409,11,5,45.5,6,54.5,160,841,345,7,4,1,21,7,191,33
28,Kevin Agudelo,co,FW,Spezia,it Serie A,21,1998,15.1,544,2,58,233,271,56,544,76,44,57.9,32,42.1,325,2764,1424,50,35,24,35,25,357,82
29,Nayef Aguerd,ma,DF,Rennes,Ligue 1,24,1996,35.0,3016,241,1281,1679,75,38,3016,11,9,81.8,2,18.2,1885,7924,4548,14,16,1,11,10,2257,2
30,Sergio Agüero,ar,FW,Manchester City,Premier League,32,1988,6.2,234,0,5,99,131,45,232,13,8,61.5,5,38.5,155,769,330,12,10,3,15,11,191,39
31,Ruben Aguilar,fr,DF,Monaco,Ligue 1,27,1993,24.7,1876,53,371,890,633,58,1876,29,12,41.4,17,58.6,944,5100,2717,74,52,4,40,14,1171,231
32,Naouirou Ahamada,fr,MF,Stuttgart,Bundesliga,18,2002,2.8,154,4,32,104,22,2,154,12,11,91.7,1,8.3,108,760,344,8,2,2,6,5,117,3
33,Matteo Ahlinvi,bj,MF,Nîmes,Ligue 1,21,1999,10.0,450,13,95,286,80,12,450,29,19,65.5,10,34.5,303,2040,1166,31,14,3,26,16,302,17
34,Jean-Eudes Aholou,ci,MF,Strasbourg,Ligue 1,26,1994,23.8,1105,45,239,692,200,22,1105,33,26,78.8,7,21.2,569,2891,1414,26,20,2,41,20,664,25
35,Jean-Eudes Aholou,ci,MF,Monaco,Ligue 1,26,1994,0.4,15,1,6,6,3,2,15,0,0,,0,,6,38,19,1,0,0,0,0,10,0
36,Joseph Aidoo,gh,DF,Celta Vigo,La Liga,24,1995,14.3,816,121,498,304,22,12,816,3,2,66.7,1,33.3,470,2286,1311,11,3,1,10,3,463,1
37,Ola Aina,ng,DF,Fulham,Premier League,23,1996,29.6,2052,105,781,957,330,17,2052,33,21,63.6,12,36.4,1070,5595,3024,63,40,5,27,10,1254,50
38,Rayan Aït-Nouri,dz,DF,Wolves,Premier League,19,2001,15.6,996,42,267,430,309,26,996,54,26,48.1,28,51.9,573,2959,1702,47,34,9,30,19,622,85
39,Rayan Aït-Nouri,dz,DF,Angers,Ligue 1,19,2001,2.1,167,3,31,103,37,4,167,9,8,88.9,1,11.1,98,507,283,7,5,2,5,3,125,18
40,Semi Ajayi,ng,DF,West Brom,Premier League,26,1993,30.9,1325,223,691,559,86,43,1325,18,10,55.6,8,44.4,536,3098,1537,13,10,2,24,5,652,7
41,Ludovic Ajorque,fr,FW,Strasbourg,Ligue 1,26,1994,33.0,1251,62,122,597,539,159,1246,23,10,43.5,13,56.5,611,2404,953,33,25,15,74,31,940,224
42,Manuel Akanji,ch,DF,Dortmund,Bundesliga,25,1995,26.1,2358,189,943,1331,96,29,2358,10,9,90.0,1,10.0,1543,8495,5042,26,15,2,9,9,1804,7
43,Carlos Akapo,gq,DF,Cádiz,La Liga,27,1993,9.6,468,42,211,190,71,3,468,10,6,60.0,4,40.0,162,980,537,12,8,2,11,3,149,15
44,Marley Aké,fr,FW,Marseille,Ligue 1,19,2001,1.6,56,2,8,24,25,7,56,8,4,50.0,4,50.0,35,258,98,4,2,0,4,5,43,12
45,Nathan Aké,nl,DF,Manchester City,Premier League,25,1995,8.9,819,40,182,570,67,6,819,1,0,0.0,1,100.0,569,2748,1678,12,22,0,2,1,658,6
46,Paul Akouokou,ci,MF,Betis,La Liga,22,1997,4.2,231,10,57,156,19,0,231,4,3,75.0,1,25.0,122,716,338,4,4,0,3,2,143,1
47,Jean-Daniel Akpa-Akpro,ci,MF,Lazio,it Serie A,27,1992,11.7,522,20,116,289,132,21,522,26,15,57.7,11,42.3,270,1381,603,11,11,3,26,13,282,31
48,Kevin Akpoguma,ng,DF,Hoffenheim,Bundesliga,25,1995,13.2,863,77,370,453,45,5,863,10,6,60.0,4,40.0,517,2441,1247,10,4,1,10,1,579,14
49,David Alaba,at,DF,Bayern Munich,Bundesliga,28,1992,29.7,2539,146,836,1396,329,24,2539,19,16,84.2,3,15.8,1654,9691,5512,56,38,2,20,12,1856,70
50,Sofiane Alakouch,ma,DF,Nîmes,Ligue 1,22,1998,16.7,1127,46,376,530,228,9,1127,36,18,50.0,18,50.0,545,2292,1350,35,22,4,26,17,605,47
51,Jony Álamo,es,MF,Elche,La Liga,18,2001,0.8,25,0,11,10,4,1,25,4,4,100.0,0,0.0,13,78,31,1,0,0,1,1,13,1
52,Lucas Alario,ar,FW,Leverkusen,Bundesliga,27,1992,13.8,462,14,40,194,233,74,460,21,16,76.2,5,23.8,226,921,284,7,5,4,46,16,361,75
53,Jordi Alba,es,DF,Barcelona,La Liga,31,1989,33.6,3199,77,636,1277,1300,118,3199,32,17,53.1,15,46.9,1972,7428,3552,48,44,14,32,14,2389,354
54,Luis Alberto,es,MF,Lazio,it Serie A,27,1992,29.1,2254,14,240,1244,817,63,2254,95,51,53.7,44,46.3,1344,8588,5655,143,124,19,46,39,1577,132
55,Raúl Albiol,es,DF,Villarreal,La Liga,34,1985,34.6,2327,286,1186,1098,55,11,2327,6,4,66.7,2,33.3,1420,8867,5461,19,13,1,10,6,1634,2
56,Marc Albrighton,eng,DF,Leicester City,Premier League,30,1989,19.4,1163,37,246,462,476,37,1163,66,37,56.1,29,43.9,615,3494,1576,46,33,7,33,29,725,139
57,Paco Alcácer,es,FW,Villarreal,La Liga,26,1993,17.2,381,9,33,167,182,69,379,11,8,72.7,3,27.3,194,624,267,12,3,8,31,9,267,77
58,Pedro Alcalá,es,DF,Cádiz,La Liga,31,1989,10.1,389,75,228,158,5,4,389,1,1,100.0,0,0.0,175,836,433,1,4,0,0,0,183,0
59,Thiago Alcántara,es,MF,Liverpool,Premier League,29,1991,20.6,1946,31,296,1226,438,16,1946,48,33,68.8,15,31.3,1252,5861,2930,27,58,4,23,18,1475,25
60,Rubén Alcaraz,es,MF,Valladolid,La Liga,29,1991,24.1,1383,61,337,877,186,23,1383,19,14,73.7,5,26.3,759,3942,1891,25,26,1,25,14,841,21
